METADATA:
Experiment Seed,Subject
3386375,Enter Name Here
Time after setup,1.5615724000381306
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Memory Task
Start Time,10.123829700052738
Memory Task Starting,10.601015100022778,,,,Memory Task,1,Enter Name Here,,,
Memory Prompt Shown,10.88373760000104,,,,Memory Task,1,Enter Name Here,,,
Text Input Submitted,10.96853930002544,,,,Memory Task,1,Enter Name Here,,,
Ready Check Started,15.989791400032118,,,,Memory Task,1,Enter Name Here,,,
Ready Check Ended,16.04484330001287,,,,Memory Task,1,Enter Name Here,,,
Blank Memory Recall Period Started,36.050861300027464,,,,Memory Task,1,Enter Name Here,,,
Blank Memory Recall Period Ended,37.05759969999781,,,,Memory Task,1,Enter Name Here,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,38.06545470003039
ESQ,38.37123920000158,,Knowledge_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,39.82035029999679,,Knowledge_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,Memory Task
ESQ,39.82219660002738,,Focus_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,40.87552450003568,,Focus_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,Memory Task
ESQ,40.877276300045196,,Deliberate_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,41.93873240001267,,Deliberate_response,10.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 10,Memory Task
ESQ,41.94055380002828,,Other_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,42.98790020000888,,Other_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,Memory Task
ESQ,42.98983910004608,,Emotion_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,44.04307360004168,,Emotion_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,Memory Task
ESQ,44.04555670003174,,Words_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,45.09128640004201,,Words_response,10.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 10,Memory Task
ESQ,45.09303300001193,,Detailed_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,46.147417600033805,,Detailed_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,Memory Task
ESQ,46.149236600031145,,Problem_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,47.196652800019365,,Problem_response,5.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 5,Memory Task
ESQ,47.1983999000513,,Intrusive_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,48.24483080004575,,Intrusive_response,8.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,Memory Task
ESQ,48.24657880002633,,Absorption_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,49.30703170003835,,Absorption_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,Memory Task
ESQ,49.30877300002612,,Distracting_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,50.35623289999785,,Distracting_response,6.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 6,Memory Task
ESQ,50.35801640001591,,Future_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,51.40438860002905,,Future_response,3.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 3,Memory Task
ESQ,51.40629290003562,,Past_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,52.453555800020695,,Past_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,Memory Task
ESQ,52.45527700003004,,Sounds_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,53.50876340002287,,Sounds_response,8.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,Memory Task
ESQ,53.510594200051855,,Self_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,54.57096800004365,,Self_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,Memory Task
ESQ,54.57279840001138,,Images_start,,Experience Sampling Questions,1,Enter Name Here,,,Memory Task
ESQ,55.61312059999909,,Images_response,3.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 3,Memory Task
EXPERIMENT DATA:,Memory Task
Start Time,55.62601300003007
Memory Task Starting,55.81064890004927,,,,Memory Task,1,Enter Name Here,,,
Memory Prompt Shown,56.10089010000229,,,,Memory Task,1,Enter Name Here,,,
Text Input Submitted,56.19244559999788,,,,Memory Task,1,Enter Name Here,,,
Ready Check Started,61.19855339999776,,,,Memory Task,1,Enter Name Here,,,
Ready Check Ended,61.250045000051614,,,,Memory Task,1,Enter Name Here,,,
Blank Memory Recall Period Started,81.25430670002243,,,,Memory Task,1,Enter Name Here,,,
Blank Memory Recall Period Ended,82.2614220000105,,,,Memory Task,1,Enter Name Here,,,
